Port,TCP,UDP,SCTP,DCCP,Description,type
989,Yes,Yes,,,"FTPS Protocol (data), FTP over TLS/SSL",well_known
990,Yes,Yes,,,"FTPS Protocol (control), FTP over TLS/SSL",well_known
991,Yes,Yes,,,Netnews Administration System (NAS)[120],well_known
992,Yes,Yes,,,Telnet protocol over TLS/SSL,well_known
993,Yes,Assigned,,,Internet Message Access Protocol over TLS/SSL (IMAPS)[11],well_known
994,Reserved,Reserved,,,"Previously assigned to Internet Relay Chat over TLS/SSL (IRCS), but was not used in common practice.",well_known
995,Yes,Yes,,,Post Office Protocol 3 over TLS/SSL (POP3S)[11],well_known
1010,Unofficial,,,,ThinLinc web-based administration interface[121],well_known
1011,Reserved,Reserved,,,,well_known
1012,Reserved,Reserved,,,,well_known
1013,Reserved,Reserved,,,,well_known
1014,Reserved,Reserved,,,,well_known
1015,Reserved,Reserved,,,,well_known
1016,Reserved,Reserved,,,,well_known
1017,Reserved,Reserved,,,,well_known
1018,Reserved,Reserved,,,,well_known
1019,Reserved,Reserved,,,,well_known
1020,Reserved,Reserved,,,,well_known
1023,Reserved,Reserved,,,[2],well_known
1024,Reserved,Reserved,,,Reserved,registered
1025,Yes,Yes,,,Teradata database management system (Teradata) server,registered
1027,Reserved,,,,Reserved,registered
1028,Reserved[2],Reserved[2],Reserved[2],Reserved[2],,registered
1029,Unofficial,Unofficial,,,Microsoft DCOM services,registered
1058,Yes,Yes,,,"nim, IBM AIX Network Installation Manager (NIM)",registered
1059,Yes,Yes,,,"nimreg, IBM AIX Network Installation Manager (NIM)",registered
1080,Yes,Yes,,,SOCKS proxy,registered
1085,Yes,Yes,,,WebObjects[11],registered
1098,Yes,Yes,,,"rmiactivation, Java remote method invocation (RMI) activation",registered
1099,Yes,Assigned,,,"rmiregistry, Java remote method invocation (RMI) registry",registered
1109,Reserved,Reserved,,,Reserved,registered
1112,Unofficial,,,,ESET virus updates[124],registered
1113,Assigned [note 2][125],Yes[126],,,Licklider Transmission Protocol (LTP) delay tolerant networking protocol,registered
1119,Yes,Yes,,,"Battle.net chat/game protocol, used by Blizzard's games[127]",registered
1167,Yes,Yes,Yes,,Cisco IP SLA (Service Assurance Agent),registered
1194,Yes,Yes,,,OpenVPN,registered
1198,Yes,Yes,,,The cajo project Free dynamic transparent distributed computing in Java,registered
1212,Unofficial,Unofficial,,,Equalsocial Fediverse protocol,registered
1214,Yes,Yes,,,Kazaa,registered
1220,Yes,Assigned,,,QuickTime Streaming Server administration[11],registered
1234,Yes,Yes,,,Infoseek search agent,registered
1241,Unofficial,Unofficial,,,Nessus Security Scanner,registered
1270,Yes,Yes,,,Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent,registered
1293,Yes,Yes,,,Internet Protocol Security (IPSec),registered
1311,Yes,Yes,,,Windows RxMon.exe,registered
1314,Unofficial,Unofficial,,,Festival Speech Synthesis System server[129],registered
1319,Yes,Yes,,,AMX ICSP (Protocol for communications with AMX control systems devices),registered
1337,Yes,Yes,,,Men&Mice DNS[130],registered
1341,Yes,Yes,,,Qubes (Manufacturing Execution System),registered
1344,Yes,Yes,,,Internet Content Adaptation Protocol,registered
1352,Yes,Yes,,,IBM Lotus Notes/Domino (RPC) protocol,registered
1360,Yes,Yes,,,Mimer SQL,registered
1414,Yes,Yes,,,IBM WebSphere MQ (formerly known as MQSeries),registered
1417,Yes,Yes,,,Timbuktu Service 1 Port,registered
1418,Yes,Yes,,,Timbuktu Service 2 Port,registered
1419,Yes,Yes,,,Timbuktu Service 3 Port,registered
1420,Yes,Yes,,,Timbuktu Service 4 Port,registered
1431,Yes,,,,"Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system",registered
